Project Name,Architect,Year,City,Continent,Project Type,Aspect,image link?,Source,Primary Source,Secondary Sources,Summary,,,,,,,,,,,,,,
"""Teatro Oficina""","""LinaBo Bardi""",,"""Sao Paulo, Brazil""","""south america""","""built project""","""site, technical metabolism""",,,,,"""Originally established in 1958 in Sao Paulo, the teatro oficina was reimagined by Lina Bo Bardi and Edson Elito, and completed in the year 1994. The central idea behind the project was responding to the immediate context and site.. This project is an excellent example of adaptive reuse with minimal alteration to the original structure, and incorporation of natural and historic elements and aesthetics in a harmonious way.The new elements fo concrete and steel , constructed within the existing outer shell lock into and brace the external skin, maintaining and supporting the integrity and character of the existing structure. In the interiors,scaffolding and metal structures shelter new spaces, such as technical areas, toilets, dressing rooms, and warehouses.The new metal structures are responsible for supporting the roof loads and that of the lateral and back mezzanine. The mixed construction system also allows the beams and metal pillars to be joined together with collapsible metal tubular parts, becoming one single structure.""",,,,,,,,,,,,,,
"""Sylvicultura Oeconomica - 'The Future of Nature'""","""Hanns Carl von Carlowitz""","""1713""","""Germany""","""europe""","""publication""","""health""","""https://de.wikisource.org/wiki/Seite:Sylvicultura_oeconomica.pdf/3""","""https://www.degruyter.com/document/doi/10.12987/9780300188479-009/html""",,,"""'Sylvicultura Oeconomica - 'The Future of Nature,' written by Hanns Carl von Carlowitz, first mentioned the concept of sustainable development. As the head of the Royal mining office in Germany, Carl von Carlowitz had to provide a solution for the shortage of timber, which was a key resource during the 17th century.The proposed solution was to cultivate trees in a sustainable way. The book, therefore, provides an insight to how and when the history of sustainability started.""",,,,,,,,,,,,,,
"""Sylva - 'A Discourse of Forest Trees and the Propagation of Timber in His Majesty's Dominions'""","""John Evelyn""","""1670""","""London, UK""","""europe""","""publication""","""health""","""https://www.library.sydney.edu.au/collections/rare-books/online-exhibitions/modernity/evelyn.html""","""https://www.econstor.eu/bitstream/10419/50254/1/535039824.pdf""",,,"""'Sylva (Discourse of Forest Trees and the Propagation of Timber in His Majesty's Dominions),' written by John Evelyn, was published in 1664 England. Evelyn, a member of the Royal Society, proposed the planting of a million trees all over England in order to address the shortage of timber. Not only did this solve the problem of being unable to expand the Birtish Royal Navy due to a lack of oak trees, but it also aided the reconstruction of London after the Great Fire in 1666. Overall, this text demonstrates how the concept of sustainability was further addressed and developed throughout history.""",,,,,,,,,,,,,,
"""Grande Reformation des Forets""","""Jean Baptiste Colbert""","""1669""","""Paris, France""","""europe""","""publication""","""health""","""https://fr.wikipedia.org/wiki/Ordonnance_de_1669""","""https://fr.wikipedia.org/wiki/Ordonnance_de_1669, https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.460.880&rep=rep1&type=pdf""",,,"""The Grande Reformation des Forets was a political policy proposed by Jean Baptiste Colbert, the minister of Finance of Louix XIV in Paris, France. The forest management reform claimed that ""France will perish due to the lack of timber."" This indicates how the sustainability issue with timber continued in other parts of Europe, hence being part of the introduction for the history of sustainability.""",,,,,,,,,,,,,,
"""Silent Spring""","""Rachel Carson""","""1962""","""USA""","""north america""","""publication""","""health, circular economy""","""https://unknews.unk.edu/2017/03/24/documentary-on-rachel-carsons-silent-spring-featured-at-unk-april-10/""","""https://unknews.unk.edu/2017/03/24/documentary-on-rachel-carsons-silent-spring-featured-at-unk-april-10/, https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.460.880&rep=rep1&type=pdf""",,,"""'Silent Spring,' written by Rachel Carson in 1962, marked the start of the American history regarding sustainability. The book made criticisms regarding the abuse of pesticides in the States, where Carson established a link between economic, social, and environmental concerns in sustainability. The following public concern regarding air and water pollution ultimately led to the establishment of the Environmental Protection Agency (EPA) by President Nixon. Therefore, the concern Carson expressed highlighted the extent to which economic insecurity caused political and social instability - this highlights how the book served to improve the Health of the people at the time.""",,,,,,,,,,,,,,
"""The Limits to Growth""","""Dennis L. Meadows""","""1972""","""Rome, Italy""","""europe""","""publication""","""people""","""https://www.amazon.com/Limits-Growth-Donella-H-Meadows/dp/193149858X""","""https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.460.880&rep=rep1&type=pdf""",,,"""The Club of Rome in March 1972 led to the publication of the report called 'Limits to Growth.' The model sought to achieve sustainability without the uncontrolled and sudden collapse of the world. It would ultimately satisfy the basic needs and the requirements of everyone. The report represented how the world started to focus on the importance of sustainability.""",,,,,,,,,,,,,,
"""One City, Nine Towns""","""Tony MacKay, Albert Speer Jr., etc.""","""2001""","""Shanghai, China""","""asia""","""planning project""","""people, health""","""https://www.lensculture.com/projects/37174-one-city-nine-towns""","""https://www.lensculture.com/projects/37174-one-city-nine-towns, https://www.travelandleisure.com/attractions/landmarks-monuments/world-landmarks-city-replicas-china?""",,,"""The One City, Nine Towns Project in Shanghai, China is an example of how China attempted to house its massively increasing population. It is projected that more than 100 new cities will emerge within the next 3 years, which will house several million people. Since this highlights the severity of the status quo regarding the housing crisis and the need for sustainable methods to house everyone, the project belongs under the People and Health category.""",,,,,,,,,,,,,,
"""English New Towns""","""New Town Development Corporation""","""1946, 1964, 1970""","""UK""","""europe""","""planning project""","""people, health""","""https://www.theguardian.com/cities/2019/may/15/sterile-or-stirring-britains-love-hate-relationship-with-new-towns""","""https://www.theguardian.com/cities/2019/may/15/sterile-or-stirring-britains-love-hate-relationship-with-new-towns, https://en.wikipedia.org/wiki/New_towns_in_the_United_Kingdom""",,,"""English New Towns, located in England, UK, was one of the world's ""most sustained new-town development programmes,"" as it created approximately 32 towns from 1946 to 1970 alone. Intending to create ""walking distance communities"" where facilities such as schools and community centres were located within each community, the English New Towns proved the importance of social infrastructure and wellbeing in order to achieve social sustainability. As the project revealed the relationship between emotional attachment and the longetivity of new cities and settlements, it is relatead to the People and Health aspect.""",,,,,,,,,,,,,,
"""HafenCity""","""HafenCity Hamburg GmbH""","""2025""","""Hamburg, Germany""","""europe""","""planning project""","""people, health""","""https://thecityateyelevel.com/stories/creating-livability/""","""https://thecityateyelevel.com/stories/creating-livability/""",,,"""HafenCity, located in Hamburg, Germany, has ambitions to actively engage the members of the community; this will both encourage people to settle in places for longer and promote social sustainability in new settlements. The city aims to foster a friendly and neighbourly atmosphere through constructing buildings that the citizens can emotionally relate to. As HafenCity reinforces the significance of community engagement and wellbeing in order to accomplish social sustainability, it comes under People and Health.""",,,,,,,,,,,,,,
"""Bestseller Shanghai Office""","""Linehouse""","""2020""","""Shanghai, China""","""asia""","""built project""","""people, health""","""https://www.archdaily.com/964612/bestseller-shanghai-office-linehouse?ad_medium=gallery""","""https://www.archdaily.com/964612/bestseller-shanghai-office-linehouse?ad_medium=gallery""",,,"""The Bestseller Shanghai Office, designed by Linehouse, is located in Shanghai, China, and it takes into account the role of the built environment and human behaviour in social sustainability. The office consists of a series of clearly divided spaces, such as the collaborative working spaces, guest meeting rooms, and quiet nooks. Hence, it demonstrates how spatial allocation was used to create a comfortable environment for its employees. Such engagement with the comfort of people places the building under the People and Health category.""",,,,,,,,,,,,,,
"""HYBE""","""FHHHfriends""","""2021""","""Seoul, South Korea""","""asia""","""built project""","""people, health""","""https://vmspace.com/eng/project/project_view.html?base_seq=MTUyNg==""",,,,"""HYBE, an office building designed by FHHHfriends and COM, is in Seoul, South Korea. Among the interesting characteristics, the design of the workspace is particularly compelling since it contains movable racks that can be adjusted according to the needs of the employees. This puts emphasis on the user control over space, another element that contributes to creating a comfortable environment for people. Consequently, the example demonstrates how the health of people in buildings are successfully taken into account.""",,,,,,,,,,,,,,
"""University of Wyoming - Visual Arts Facility""","""Hacker Architects""","""2012""","""Wyoming, USA""","""north america""","""built project""","""site, people, health, energy""","""https://www.aiatopten.org/node/425""","""https://www.aiatopten.org/node/425""",,,"""The Visual Arts Facility in the University of Wyoming, designed by Hacker Architects, intends to engage the occupants by forming interesting outdoor spaces as well as quality interior experiences. The design is heavily informed by the ecology and the bioclimatic conditions of the site, therefore placing the project under the Site category. The building embraces the natural beauty of Wyoming: the stone used during construction was quarried from the campus's own quarry located in Wyoming, while the harsh wind directly informs the shape of the design. The building was also oriented so that the interaction between the sun and the interior could be maximised, while natural ventilation was enabled through the analysis of season winds.""",,,,,,,,,,,,,,
"""Dixon Water Foundation Josey Pavilion""","""Lake|Flato Architects""","""2014""","""Georgia, USA""","""north america""","""built project""","""site, water, energy""","""https://www.archdaily.com/772041/dixon-water-foundation-josey-pavilion-lake-flato-architects""","""https://www.archdaily.com/772041/dixon-water-foundation-josey-pavilion-lake-flato-architects""",,,"""The Dixon Water Foundation Josey Pavilion by Lake|Flato Architects is an open-air pavilion that serves as an education and meeting centre located in Decatur, United States. The pavilion consists of two spaces that are connected by a shaded porch: a herbarium and a multi-pupose space for educational events. Heavily dependent on the climatic conditions of the site, the design allows the full treatment of wastewater on-site, while being self-sufficient by producing energy through solar panels. Additionally, the building does not require any heating or cooling, since it can adapt to any weather conditions on the site.""",,,,,,,,,,,,,,
"""Bedzed EcoVillage""","""Bill Dunster""","""2002""","""Wallington, UK""","""europe""","""built project""","""technical metabolism, energy, site""","""https://www.zedfactory.com/bedzed""","""https://www.zedfactory.com/bedzed""",,,"""The Beddington Zero Energy Development (BedZED), designed by ZEDfactory, is  an environmentally-friendly housing development in Wallington, a suburb of London.  The idea of the eco village is to create a Mixed use and mixed tenure resilient community that is  affordable and achievable even within current market constraints.Over half (52%) of the construction materials by weight were sourced within 35 miles – considerably closer than the construction industry average. Using bricks from local demolition sites and reclaimed structural steelwork and softwood walling studs which were remanufactured into useful new structural components, resulting in fewer components and finishes being needed. The land the eco-village stands on is also recycled.Once used for spreading sludge from the nearby sewage works, it now has become the site for a – fostering community and growth. BedZED also has its own on-site water treatment plant and woodchip fuelled combined heat and power plant, witha capacity to match the average electrical demand, exporting to the grid when surplus power is generated on site - and importing to meet peak demand.""",,,,,,,,,,,,,,
"""Ningbo Museum""","""Wang Shu""","""2008""","""Ningbo, China""","""asia""","""built project""","""technical metabolism, site""","""https://www.archdaily.com/14623/ningbo-historic-museum-wang-shu-architect""","""https://www.archdaily.com/14623/ningbo-historic-museum-wang-shu-architect, https://www.dezeen.com/2016/08/18/video-interview-wang-shu-amateur-architecture-studio-ningbo-history-museum-movie/""",,,"""The Ningbo Museum also known as the Yinzhou Museum designed by architect Wang Shu is located in the city of Ningbo in Zhejiang Province, China.The museum focuses on Ningbo area history and traditional customs. The three-storey museum's distinctive facade is largely composed of debris collected from the surrounding areas, where traditional Chinese towns and villages were demolished to make way for new developments. Through the use of traditional materials and techniques it embodies the memories of the demolished villages while also setting an example for reuse using a traditional technique called ‘wapan’, in which multiple elements of different sizes are packed together to create a stable structure.""",,,,,,,,,,,,,,
"""Kendeda Building""","""Miller Hull""","""2019""","""Georgia, USA""","""north america""","""built project""","""technical metabolism, site, energy""","""https://www.architectmagazine.com/project-gallery/the-kendeda-building-for-innovative-sustainable-design_o""","""https://www.archdaily.com/966808/the-kendeda-building-for-innovative-sustainable-design-miller-hull-partnership, https://www.architectmagazine.com/project-gallery/the-kendeda-building-for-innovative-sustainable-design_o, https://livingbuilding.gatech.edu/""",,,"""The Kendeda Building for Innovative Sustainable Design  designed by Miller Hull architects is located on the main campus of the Georgia Institute of Technology, Atlanta. Integrating multidimensional solutions using an iterative and systems-based process, the building is an example of a regenerative system, giving back more than it consumes. To reduce embodied energy, nail-laminated timber (NLT) floor and roof panels were selected as the material for the primary structure. To achieve longer spans, steel is paired with timber creating a hybrid system that employs each material to its highest and best capabilities.For the exterior, where weather protection is critical, high-performance coatings were used on steel members. Concrete is limited to foundations and where beneficial for thermal mass.  The design focuses on optimizing the program and making efficient use of space, including outdoor classrooms on the Regenerative Porch and an outdoor lab on the roof. Water systems of the Kendeda Building are designed to integrate the project into the Georgia Tech ecosystem and ensure the project lives within its water means.""",,,,,,,,,,,,,,
"""Maritime Museum""","""Mecanoo""","""2011""","""Texel, Netherlands""","""europe""","""built project""","""technical metabolism, site""","""https://www.mecanoo.nl/Projects/project/51/Kaap-Skil-Maritime-and-Beachcombers-Museum""","""https://www.mecanoo.nl/Projects/project/51/Kaap-Skil-Maritime-and-Beachcombers-Museum""",,,"""The Kaap Skil Maritime and Beachcombers Museum designed by Meccannoo,  incorporates ideas of reuse of washed-up objects around Texel Island . Comprising an outer screen of vertical slats with a layer of glass behind, the textured facade provides views of the famous Dutch sky while creating a rhythmic play of shadow and light inside.The facade is composed of sawn hardwood sheet piling reclaimed from the Noord-Hollands Canal, with a characteristic roof of four peaks that echoes the rhythm of the surrounding rooftops of Oudeschild village. Visitors enter on the ground floor, where the museum café is also located.The wooden façade of Kaap Skil is a good example of this time-hallowed tradition of recycling. The vertical wooden boards are made of sawn hardwood sheet-piling from the North Holland Canal and have been given a new life just like the objects in the museum collection.""",,,,,,,,,,,,,,
"""Mehr Wert Pavilion""",2hs architects and engineers,"""2019""","""Heilbronn, Germany""","""europe""","""built project""","""technical metabolism, site""","""http://ccl.aap.cornell.edu/mehr-wert-pavillon/""","""http://ccl.aap.cornell.edu/mehr-wert-pavillon/""",,,"""The Mehr.WERT. pavilion  designed by Matthias Pfeifer, Rosemarie Wagner, 2hs Architekten und Ingenieur addresses questions of  local and global resource use  while demonstrating a shift towards a circular economy of closed material cycles, experimenting with alternative materials as well as their applications in a circular design and construction. The aim is to discuss important issues of construction and the associated use of resources with decision-makers from politics, construction planning and implementation and to develop new innovative concepts, applications and methods, both in practice and in teaching.The pavilion makes use of the existing urban mine as well as acts as a material depot, the materials used in its construction have already undergone at least one life cycle,  and have been put together in a way that can be disassembled, which will make them available again for future constructions.""",,,,,,,,,,,,,,
"""Landscape Park Duisburg Nord""","""Latz+Partners""","""2002""","""Duisburg, Germany""","""europe""","""landscape architecture project""","""site""","""https://www.latzundpartner.de/en/projekte/postindustrielle-landschaften/landschaftspark-duisburg-nord-de/""","""https://www.latzundpartner.de/en/projekte/postindustrielle-landschaften/landschaftspark-duisburg-nord-de/""",,,"""The landscape park Duisburg Nord designed by Latz und Partner focuses on the environmental, economic and social transformation of an old industrialised region. The idea was to integrate, shape, develop and interlink the existing patterns that were formed by its previous industrial use, and to find a new interpretation with a new syntax.The park is divided into different areas, whose borders were carefully developed by looking at existing conditions (such as how the site had been divided by existing roads and railways, what types of plants had begun to grow in each area, etc.). This piecemeal pattern was then woven together by a series of walkways and waterways, which were placed according to the old railway and sewer systems. While each piece retains its character, it also creates a dialogue with the site surrounding it.  In the landscape park, individual systems operate independently, such as the low-lying water park, the single fields and clumps of vegetation, the promenades at street level connecting parts of the town which were separated for decades, and the railway park with its high level promenades and the rail harp. They connect only at certain points through specific visual, functional or merely imaginary linking elements.""",,,,,,,,,,,,,,
"""Public Farm PS1 MoMA""",Workac,"""2008""","""New York, USA""","""north america""","""built project""","""people, site, biological metabolism""","""https://www.architectmagazine.com/project-gallery/public-farm-one-at-moma-ps1-3673""","""https://work.ac/work/pf1/, https://www.architectmagazine.com/project-gallery/public-farm-one-at-moma-ps1-3673""",,,"""P.F.1 (Public Farm One) is an urban farm installation  designed by WORK Architecture as a cultivated and cultivable piece of infrastructure as a part of the pS1 MOMA competition.  Constructed from large cardboard tubes, its top surface will be a working farm, blooming with a variety of vegetables and plants, the project accommodates and creates spaces of /elements of shade, water, seating, and bar areas. P.F.1 will work as an interactive bridge between outside and inside, creating multiple zones of activity including swings, fans, sound effects, innovative seating areas, and a refreshing pool at its center. The installation was envisioned as a living structure made from inexpensive and sustainable materials and recyclable after its use at P.S.1.""",,,,,,,,,,,,,,
"""I'm Lost in Paris""","""R&SIEN""","""2008""","""Paris, France""","""europe""","""built project""","""health, biological metabolism""","""https://www.archdaily.com/12212/im-lost-in-paris-rsien""","""https://www.archdaily.com/12212/im-lost-in-paris-rsien""",,,"""Designed by R-Sie(n), 'I'm Lost in Paris' is a 130m² two storey structure in a residential Paris courtyard shrouded in a dense facade of hydroponically sustained ferns, contained in a metal pergola set at a slight remove from the house and anchored by horizontal members attached to the external walls. The house is made of raw concrete with the external walls wrapped in a thick layer of green plastic with polyurethane insulation underneath. The 1,200 specimens are nourished by a mixture of bacteria, nutrients and rainwater, which can be adjusted in response to climate and light in 300 glass beakers and then piped, drop by drop, to the plant substrate Which helps regulate light and temperature within the house.""",,,,,,,,,,,,,,
Dusty Relief,R&Sien,,na,,,"""health, biological metabolism""",,,,,---,,,,,,,,,,,,,,
Waste Collection Station ,Superuse Studio,,"The Hague, Netherlands",,"""built project""",,,,,,?,,,,,,,,,,,,,,
"""UMAR""","""Werner Sobek, Felix Heisel, Dirk Hebel""","""2018""","""Dubendorf, Switzerland""","""europe""","""built project""","""technical metabolism, circular economy""","""http://nest-umar.net/""","""http://nest-umar.net/""",,,"""The Urban Mining and Recycling (UMAR) Experimental Unit designed by Werner Sobek with Dirk E. Hebel and Felix Heisel is one of the units at the NEST research building on the campus of the Swiss Federal Laboratories for Materials Science and Technology (Empa) in Dübendorf, Switzerland. The building design demonstrates how a responsible approach to dealing with our natural resources can go hand in hand with appealing architectural form. The project is underpinned by the proposition that all the resources required to construct a building must be fully reusable, recyclable or compostable. This places life-cycle thinking at the forefront of the design: Instead of merely using and subsequently disposing of resources, they are borrowed from their technical and biological cycles for a certain amount of time before being put back into circulation once again. This conceptual emphasis means that UMAR functions simultaneously as a material laboratory and a temporary material storage.""",,,,,,,,,,,,,,
"""Waste Side Story Pavilion""","""Cloud-Floor""","""2018""","""Khwaeng Bang Rak, Thailand""","""asia""","""built project""","""technical metabollism, circular economy""","""https://www.archdaily.com/900987/waste-side-story-pavilion-cloud-floor""","""https://www.archdaily.com/900987/waste-side-story-pavilion-cloud-floor""",,,"""The ‘Waste Side Story’ Pavilion designed by the Thailand-based architecture firm Cloud-floor was constructed for the 2018 Bangkok Design Week. Through the intervention, the designers try to address questions regarding conventional design and construction method of waste and consumption and propose an alternative approach which involves a consideration of recycled material and an exploration of the material life beyond the building.The six-meter-high pavilion comprises of, specifically designed, recycled plastic bricks and light nylon screens.Using a modular construction techniques  Each architectural component are thought in terms of product design: the scale and proportion of each element derived from the products they are intended as after the event where the elements are arranged into a repetitive pattern, creating rhythms within the structure. After the design week, the bricks and screens were dismantled into over 2500 chairs and 1500 tote bags extending the life of the pavilion beyond its intended short-term existence.""",,,,,,,,,,,,,,
"""Alliander HQ""","""RAU Architects""","""2015""","""Duiven, Netherlands""","""europe""","""built project""","""technical metabolism, circular economy, people, energy""","""https://www.archdaily.com/777783/alliander-hq-rau-architects#:~:text=The%20new%20head%20office%20for,which%20will%20house%201550%20workers.""","""https://www.archdaily.com/777783/alliander-hq-rau-architects#:~:text=The%20new%20head%20office%20for,which%20will%20house%201550%20workers., https://archello.com/project/alliander-hq""",,,"""The new head office for the energy grid company Alliander in Duiven (The Netherlands)  is designed and renovated by RAU architects. With the aim to preserce and integrate the existing buildings, which were composed of different blocks, the project seamlessly blends the old and new through a large atrium covered by an iconic roof that connects the six different volumes visually, programmatically as well as logistically, and creates an “in between” space where employees and visitors can meet..The facades of the existing buildings are maintained, including the windows, and a “skin” is attached to them, improving the insulation value, avoiding heat losses and reducing the energy demand.Efficiency and effectiveness in intervention, material use, footprint, costs and burdening of the environment to achieve optimum functionality and comfort are guiding principles throughout the design. Circularity has been an integral part of the design in many ways: respecting the majority of the existing constructions, using waste wood for the facades, reusing the concrete from the parts which were demolished, reusing the steel construction for the extensions of the buildings, recycling the asphalt from the existing roofs, reusing the existing toilets and ceiling plates and converting the existing doors into new furniture, amongst other things.""",,,,,,,,,,,,,,
"""Pavilion Circulare""","""Encore Heureu Architects""","""2015""","""Rotterdam, Netherlands""","""europe""","""built project""","""technical metabolism, circular economy, site""","""https://www.archdaily.com/778972/the-circular-pavilion-encore-heureux-architects""","""https://www.archdaily.com/778972/the-circular-pavilion-encore-heureux-architects""",,,"""The Pavilion Circulare, designed by Encore Heureux architects is an attempt to demonstrate possibilities of reuse in architecture by disrupting waste collection and depositing systems, by using materials reclaimed from the city’s construction waste, erroneous orders, and abandoned stocks. Approximately 60% of the materials used here have a second life. The facade is made up of 180 wooden doors obtained from a house repair project in Paris' 19th district. Mineral wool from a supermarket roof is used to create the insulation on the inside.The wooden framework is made out of scraps from a retirement home's construction site, while the ground and partition walls are made up of walls from a former exhibition. The pavilion is furnished with 50 wooden chairs rescued, repaired and painted from Parisian bulk waste, while the hanging lights were sourced from a public lighting storage facility. An increased focus on already-existing resources and materials allows the limited use for new/ primary resources  while also avoiding the production and accumulation of waste that would then need to be dealt with. It's an ongoing project aimed at creating architecture that is both continuous and relevant. """,,,,,,,,,,,,,,
"""Solarleaf/ Bioenergy facade""","""ARUP""","""2019""","""Dresden, Germany""","""europe""","""built project""","""biological metabolism, health""","""https://www.designcurial.com/news/microalgae-really-go-green-4679548/""","""https://www.designcurial.com/news/microalgae-really-go-green-4679548/, https://www.arup.com/projects/bioenergy-facade""",,,"""The SolarLeaf façade is the first algae bioreactor facade developed by Arup. Microalgae are cultivated in a nutrient rich medium inside the glass facade panels that generate heat for the building operation and biomass for the food and pharmaceutical industries while absorbing CO2. With a thermal efficiency of 38 percent and a biomass conversion efficiency of 8 percent, the bioenergy façade is comparable to conventional solar systems. In order to improve the conditions for algae growth in the façade panels and at the same time to optimise the structure of the glass elements, computational fluid dynamics (CFD) simulations were used to map the flow and mixing processes within the bioreactors.The function and economic efficiency of the system is ensured by a contracting model wherein the harvested algae can be utilised by  food and pharmaceutical industries.""",,,,,,,,,,,,,,
"""Garden and House""","""Ruye Nishizawa""","""2011""","""Tokyo, Japan""","""asia""","""built project""","""Site, People, Health""","""https://www.dezeen.com/2013/01/23/garden-and-house-by-ryue-nishizawa/""","""https://www.dezeen.com/2013/01/23/garden-and-house-by-ryue-nishizawa/""",,,"""Located in a dense commercial district of Tokyo, the garden and house project by Ruye Nishizawa is a four-storey structure combining a home and workplace for two writers. Considering the limitations of the site, which was four meters wide, the architect ensures spaciousness and light in the narrow space by designing an open structure  with  glass walls to  give a sense of openness in the interior.  A garden and a room are distributed as a pair on each floor. Whether it is the living room, private room, or the bathroom, every room has a garden of its own so that the residents may go outside to feel the breeze, read a book or cool off in the evening and enjoy an open environment in their daily life.These green spaces also serve as a dynamic facade/ screen as a buffer between the street and maintaining privacy in the transparent structure.""",,,,,,,,,,,,,,
"""Welcome to the Jungle House (WTTJH)""","""CplusC Architectural Workshop""","""2019""","""Darlington, Australia""","""oceania""","""built project""","""technical metabolism, site, people""","""https://www.archdaily.com/951260/welcome-to-the-jungle-house-cplusc-architectural-workshop""","""https://www.archdaily.com/951260/welcome-to-the-jungle-house-cplusc-architectural-workshop, https://www.dezeen.com/awards/2021/shortlists/welcome-to-the-jungle-house/""",,,"""Welcome to the Jungle House (WTTJH) is a rejuvenation project located in Darlington, Australia. The masonry facade on the original two-storey house that existed on the site represented the significance of the local heritage. The architects, CplusC Architectural Workshop, employed active and passive systems to lessen the impact of climate change and provide resilience to the natural environment. For instance, black photovoltaic panels were added ot the northern facade for sunlight during the day, while the rooftop consists of steel planter beds where plants and vegetables can grow. WTTJH belongs to the People and Reuse categories. It uses different materiality as well as fauna to coexist with the context, while reusing the original aspects of the house to transform it to a building suitable for sustainable living.""",,,,,,,,,,,,,,
"""Kamikatsu Zero Waste Centre""","""Hiroshi Nakamura & NAP, Yamada Noriaki Structural Design Office""","""2020""","""Kamikatsu, Japan""","""asia""","""built project""","""technical metabolism, people, site""","""https://www.dezeen.com/awards/2021/shortlists/kamikatsu-zero-waste-center/""","""https://www.dezeen.com/awards/2021/shortlists/kamikatsu-zero-waste-center/, https://www.dezeen.com/2021/11/09/kamikatsu-zero-waste-center-hiroshi-nakamura-architecture/""",,,"""Kamikatsu Zero Waste Centre, built by Hiroshi Nakamura & NAP, is an environmentally friendly building that aids the community effort to fully recycle and reuse their wastes. The town of Kamikatsu has achieved an 80% recycling rate by sorting their wastes into 45 categories at this facility. Not only this, but the building is also entirely made out of waste - for instance, the wood used for structural support was processed as little as possible to reduce the amount of waste generated. The fact that it is both physically built out of reusing materials and encourages zero waste places the project under the Reuse category. The building also contains a community hall, a reuse centre, and a hotel - this generates a feeling of community action, hence engaging the members of the community to participate in this group effort towards sustainability.""",,,,,,,,,,,,,,
"""The Arc at Green Schoool Bali""","""IBUKU""","""2021""","""Kecamatan Abiansemal, Indonesia""","""asia""","""built project""","""site, fabrication, digitalization""","""https://www.dezeen.com/awards/2021/shortlists/the-arc-at-green-school-bali/""","""https://www.dezeen.com/awards/2021/shortlists/the-arc-at-green-school-bali/, https://www.archdaily.com/964059/the-arc-at-green-school-ibuku""",,,"""The Arc at Green School Bali by IBUKU is an new design solution where the use of bamboo has shown the potential of lightweight structures. It is built out of 14m bamboo arches that span 19m that intersect one another - they are supported by a shell with an orthogonal grid. The anticlastic gridshells are in constant tension, which successfully hold the arches in place.The resulting space, which is supported by minimal structure, opens up a huge surace area suitable for a gym and a place for students to relax. The fact that it took the architects months to detail out the connections and figure out the two systems to result in an efficient structure shows how the project is an example of fabrication of materials can contribute towards design solutions that can aid sustainability.""",,,,,,,,,,,,,,
"""ciAsa Aqua Bad Cortina""","""Pedevilla Architects""","""2019""","""South Tyrol, Italy""","""europe""","""built project""","""site""","""https://www.dezeen.com/awards/2021/shortlists/ciasa-aqua-bad-cortina/""","""https://www.dezeen.com/awards/2021/shortlists/ciasa-aqua-bad-cortina/, https://archello.com/project/ciasa-aqua-bad-cortina""",,,"""ciAsa Aqua Bad Cortina is an alpine house located in St. Vigil, Italy. Shaped like a trapezoid where there is no distinction between the roof and the wall, the house is visible from afar due to the profile of the roof. Material choice was key to the project, since the house was built out of local materials. The structure consists of spruce wood which had fallen down due to a severe storm. The characteristics of the site were further employed by sourcing other materials from the valley nearby as well, such as the stone for the flooring and other types of wood for the interior; almost no synthetic materials were used during the process.""",,,,,,,,,,,,,,
"""Olympic House - IOC Headquarters""","""3XN""","""2019""","""Lausanna, Switzerland""","""europe""","""built project""","""site, people, health, circular economy""","""https://www.dezeen.com/awards/2021/longlists/olympic-house-ioc-headquarters/""","""https://www.dezeen.com/awards/2021/longlists/olympic-house-ioc-headquarters/, https://www.archdaily.com/919679/3xns-olympic-house-opens-in-lausanne#:~:text=During%20the%20worldwide%20celebration%20of,Olympic%20House%20in%20Lausanne%2C%20Switzerland.""",,,"""The Olympic House, which is the new headquarters for the International Olympic Committee (IOC), was built in Lausanne, Switzerland, by the Danish firm 3XN. The building was designed and constructed under five main values: sustainability, collaboration, flexibility, movement, and transparency. Hence, the design aims to encourage active communication between the employees, while forming an efficient and sustainable office space. The Olympic House is an example of how Reuse was used to achieve the aim of circular economy: 95% of the construction materials from the administrative building that pre-existed on the site was reused and recycled to erect the new headquarters. Overall, the design makes contributions towards the optimisation of energy and water use while enhancing the office environment. The Olympic House has received the LEED v4 Platinum, SNBS Platinum, and Minergie P.""",,,,,,,,,,,,,,
"""The Braunstein Taphouse""","""ADEPT""","""2020""","""Køge, Denmark""","""europe""","""built project""","""technical metabolism, site, people, circular economy""","""https://www.archdaily.com/951074/braunstein-taphouse-adept""","""https://www.archdaily.com/951074/braunstein-taphouse-adept, https://www.dezeen.com/awards/2021/longlists/the-braunstein-taphouse/""",,,"""The Braunstein Taphouse, located at the harbour of Køge, Denmark, serves as the visitor centre for the Braunstein brewery and a meeting place for the community members. Designed by ADEPT, the taphouse was designed for disassembly due to the site being temporarily leased; the building can be rebuilt after being relocated to a different site, or it can also be demolished and used as portions of other projects in the future. The project, therefore, is fit for Reuse since aspects of the design were fit for reuse and recycle: only mechanical joints were used, while no paints were allowed. Furthermore, the volume of waste that would be generated when reusing the building was minimised by using little material as possible, while the building was made self-sufficient through installing solar panels and enabling natural ventilation.""",,,,,,,,,,,,,,
