Project Name,Architect,Year,City,Continent,Project Type,Aspect,Image link,Source,Summary
"""Pavilion Circulare""","""Encore Heureu Architects""","""2015""","""Rotterdam, Netherlands""","""europe""","""project""","""technical metabolism, circular economy""","""https://images.adsttc.com/media/images/5672/0608/e58e/ce6d/b500/00b5/slideshow/portada_EH_PAVILLON-CIRCULAIRE_%C2%A9Cyrus-CORNUT_2015_137_002.jpg?1450313198""","""https://www.archdaily.com/778972/the-circular-pavilion-encore-heureux-architects""","""Designed by Encore Heureux Architects, Pavilion Circulare is an attempt to demonstrate the possibilities of reuse in architecture by disrupting waste collection and depositing systems, while using materials reclaimed from the city’s construction abandoned stocks. Approximately 60% of the materials used here have a second life. The facade is made up of 180 wooden doors obtained from a house repair project in Paris, while mineral wool from a supermarket roof was used to create the insulation on the inside. The pavilion is furnished with 50 wooden chairs rescued, repaired, and painted from Parisian bulk waste, while the hanging lights were sourced from a public lighting storage facility. An increased focus on already-existing resources and materials allows the limited use of new materials while avoiding the accumulation of waste that would then need to be dealt with. Therefore, the pavilion is an ongoing project aimed at creating architecture that is both continuous and relevant."""
"""Dixon Water Foundation Josey Pavilion""","""Lake|Flato Architects""","""2014""","""Georgia, USA""","""north america""","""project""","""site, water, energy""","""https://images.adsttc.com/media/images/571f/fe5a/e58e/ce7e/0f00/00db/slideshow/Dixon_07.jpg?1461714513""","""https://www.archdaily.com/772041/dixon-water-foundation-josey-pavilion-lake-flato-architects""","""The Dixon Water Foundation Josey Pavilion by Lake|Flato Architects is an open-air pavilion that serves as an education and meeting centre located in Decatur, United States. The project aims to preserve and promote watersheds through sustainable management. The pavilion consists of two spaces that are connected by a shaded porch: a herbarium and a multi-pupose space for educational events. The structural system of the Dixon Water Foundation Josey Pavilion consists of overhangs that both displays the local heritage and provides a gathering space for the community. Heavily dependent on the climatic conditions of the site, the design also allows the full treatment of wastewater on-site, while being self-sufficient by producing all of the energy used through solar panels."""
"""Teatro Oficina""","""Lina Bo Bardi""","""1984""","""Sao Paulo, Brazil""","""south america""","""project""","""site, people, technical metabolism""","""https://images.adsttc.com/media/images/599d/69f9/b22e/38f0/8900/0057/slideshow/lboof_01.jpg?1503488502""","""https://www.archdaily.com/878754/ad-classics-teatro-oficina-lina-bo-bardi-and-edson-elito""","""Originally established in 1958 in Sao Paulo, the Teatro Oficina was reimagined by Lina Bo Bardi and Edson Elito, and completed in the year 1994. The central idea behind the project was responding to the immediate context and site. This project is an excellent example of adaptive reuse with minimal alteration to the original structure; natural and historic elements were harmonised with aesthetics. The new elements of concrete and steel, constructed within the existing outer shell, lock into the external skin, maintaining and supporting the integrity of the existing structure. In the interior, the scaffolding and metal structures shelter new spaces such as technical areas, toilets, dressing rooms, and warehouses. The new metal structures are responsible for supporting the loads of the roof and that of the lateral and back mezzanine. The mixed construction system also allows the beams and metal pillars to be joined together with collapsible metal tubular parts, becoming one single structure."""
"""Waste Side Story Pavilion""","""Cloud-Floor""","""2018""","""Khwaeng Bang Rak, Thailand""","""asia""","""project""","""technical metabolism, circular economy""","""https://images.adsttc.com/media/images/5b86/5c88/f197/cc5a/2500/007e/slideshow/WASTE_SIDE_STORY9.jpg?1535532145""","""https://www.archdaily.com/900987/waste-side-story-pavilion-cloud-floor""","""The ‘Waste Side Story’ Pavilion, designed by the Thailand-based architecture firm Cloud-Floor, was constructed as part of the 2018 Bangkok Design Week. Through the intervention, the designers attempted to address questions regarding conventional design and construction methods of waste and consumption, while proposing an alternative approach involving the material life beyond the building. The six metre high pavilion comprises of recycled plastic bricks and light nylon screens that were specifically designed for this project. Using modular construction techniques, the architectural components were thought through in terms of product design: the scale of each element was determined using the products they were intended to be after the event. After the design week, the bricks and screens were dismantled into over 2500 chairs and 1500 tote bags, extending the life of the pavilion beyond its intended short-term existence."""
"""Triodos Bank""","""RAU Architects and Ex Interiors""","""2019""","""Driebergen-Rijsenburg, The Netherlands""","""europe""","""project""","""site, technical metabolism""","""https://images.adsttc.com/media/images/5da0/87d3/3312/fd25/b100/001d/slideshow/feature_-_Bert_Rietberg_voor_J.P._van_Eesteren_%286%29.jpg?1570801605""","""https://www.archdaily.com/926357/triodos-bank-rau-architects, https://www.dezeen.com/awards/2020/longlists/triodos-bank-landgoed-de-reehorst/""","""The Triodos Bank, designed by RAU Architects in collaboration with Ex Interiors, is a fully reconstructible, wooden building that promotes circular construction. Located in Driebergen-Rijsenburg, The Netherlands, the office building is inspired by the natural surroundings as well as the flight paths of bats on the site; the office is also entirely built out of wood and has a minimal CO2 footprint. The landscape is reflected onto the building's glass facade, and the main material used is wood. The fact that the architects have documented all the products and materials for future use when disassembled takes into account future reuse opportunities as well. Screws were used instead of wet joints, which enable the full reuse of all the components within the building."""
"""Urban Mining Triology""","""C-LAB""","""2019""","""Taipei, Taiwan""","""asia""","""strategy""","""circular economy, technical metabolism""","""https://images.adsttc.com/media/images/5db7/0447/3312/fdea/7a00/0470/slideshow/%E5%B7%A5%E4%BD%9C%E5%9D%8A18_-_Lucia_Berlanga.jpg?1572275262""","""https://www.archdaily.com/927263/urban-mining-trilogy-at-c-lab-investigates-circular-material-reuse?ad_medium=gallery""","""The Urban Mining Triology, led by the Taiwan Contemporary Culture Lab (C-LAB), aimed to reuse discarded red bricks from the dismantled walls around its research building. The triology began with the Urban Mining Research Project conducting quantitative research on technical material, before focusing on the largest resource - red bricks - in the Circular Materials R&D Project. The final chapter is the Experimental Architecture Project aiming to create a full-sale installation to visualise the potential of the urban mine, recovering previously used materials through special treatments and processes to build something new. The site consisted of three old trees and a partially preserved guard post. The resulting space successfully serves as a place for people to gather and socialise, consequently creating new meaning for this previously discarded urban corner."""
"""Experimental Architecture Project""","""Design & Make Organisation (DMO), C-LAB""","""2019""","""Taipei, Taiwan""","""asia""","""project""","""circular economy, technical metabolism, site""","""https://images.adsttc.com/media/images/5db7/051e/3312/fdea/7a00/0472/slideshow/_%E2%80%9CExperimental_Architecture_Project%E2%80%9D_of_C-LAB_is_to_be_led_by_Design___Make_Organization._(%C2%A9_DMO)_-_Lucia_Berlanga.jpg?1572275475""","""https://www.archdaily.com/927263/urban-mining-trilogy-at-c-lab-investigates-circular-material-reuse?ad_medium=gallery""","""The Experimental Architecture Project, led by Design & Make Organisation (DMO), C-LAB, aimed to reuse discarded red bricks from the dismantled walls around the C-LAB building. Similar to the concrete footbridge, this project recovers previously used materials through special treatments and processes. The site previously consisted of three old trees and a guard post, where only parts of the existing walls were preserved. The architects reused discarded bricks from a dismantled wall next to their office, hence closing the cycle and engaging further with the site.The resulting space successfully serves as a place for people to gather and socialise - interactions within the community are encouraged, consequently creating new meaning for the previously discarded urban corner."""
"""Dusty Relief""","""R&Sie(n)""","""2020""","""Bangkok, Thailand""","""asia""","""project""","""health, biological metabolism""","""https://images.adsttc.com/media/images/5db7/051e/3312/fdea/7a00/0472/slideshow/_%E2%80%9CExperimental_Architecture_Project%E2%80%9D_of_C-LAB_is_to_be_led_by_Design___Make_Organization._(%C2%A9_DMO)_-_Lucia_Berlanga.jpg?1572275475""","""https://www.degruyter.com/document/doi/10.1515/9783038213758/html?lang=en""","""Dusty Relief by R&Sie(n) is a facade designed to capitalise on smog as a resource by introducing a process of perception-transformation of the waste material. The facade is designed for a proposed art gallery in Bangkok, Thailand, which is one of the heaviest air-polluted cities in the world owing to its non-functional transport system. Whil the building's inner spatial organisation follows a Euclidean system of stacked cubes, the external envelope is to be understood as a living organism. In order to harvest the smog, the facade's metal mesh attracts dust particles from the surrounding air through an electrostatic mechanism. This apparatus glues the small waste elements together forming a hairy fur that in its final stage would carpet the entire building structure. This procedure repeats itself whenever the seasonal monsoon rain washes down the particles after which they can be collected and recycled. The building envelope acts as a catalyst between the highly controlled environment of the art gallery and the sometimes hazardous outside conditions. It filters the smog waste particles, turns them into building materials for a limited time and then releases them to be collected and treated. In this way the building changes its appearance in accordance to natural as well as man made climatic and environment conditions. "
"""Jiangyin Greenway""","""Brearley Architects + Urbanists""","""2019""","""Wuxi, China""","""asia""","""project""","""site""","""https://images.adsttc.com/media/images/5e02/b585/3312/fd5a/4f00/0143/slideshow/BAU616_Image_019.jpg?1577235837""","""https://www.archdaily.com/930909/jiangyin-greenway-bau, https://www.dezeen.com/awards/2020/longlists/jiangyin-greenway-weaving-and-stitching/""","""Jiangyin Greenway, designed by Brearley Architects + Urbanists, consists of four identifiable segments that each respond to the unique characteristics of the place (Yangtze River) in which the pathway is located. Since the freeway is entirely lifted up from the city, it does not act as a barrier to circulation; the shortcuts the project provides is also successful in rejuvenating the park within the site. Hence, the project clearly responds to the existing roads and pedestrian circulation within the city. Furthermore, it enhances the living quality of the neighbourhood by hosting additional programmes (including widenings and landmark bridges) to make adjacent city programmes work."""
"""Mon Repos Turtle Centre""","""KIRK""","""2019""","""Bargara, Australia""","""oceania""","""project""","""fabrication, site""","""https://images.adsttc.com/media/images/5e59/6655/6ee6/7e88/ef00/0074/slideshow/03_Mon_Repos_Turtle_Centre_KIRK_Scott_Burrows_Photographer.jpg?1582917183""","""https://www.archdaily.com/934624/mon-repos-turtle-centre-kirk, https://www.architecture.com.au/awards/2020-national-architecture-awards-winners-sustainable-architecture""","""The Mon Repos Turtle Centre in Bargara, Australia is situated as part of a conservation park along the beach. The building is part of a larger life cycle of turtles, where they lay eggs that eventually hatch and travel to the water. The need for ""light-spill"" at night and natural light during the day was fulfilled by KIRK through a series of prefabricated glulam timber diagrid. Not only was the timber sourced locally, but it had to engage the site by helping visitors navigate through the building even at night. Furthermore, the timber fabrication resulted in an efficient structure where material was minimised and the span was greatly increased."""
"""Hotel Bauhofstrasse""","""Von M""","""2019""","""Ludwigsburg, Germany""","""europe""","""project""","""fabrication, technical metabolism""","""https://images.adsttc.com/media/images/5ed7/bf5b/b357/6595/bf00/013e/slideshow/191026006B.jpg?1591197503""","""https://www.archdaily.com/940980/hotel-bauhofstrasse-von-m, https://www.dezeen.com/awards/2020/longlists/hotel-bauhofstrasse/""","""The Hotel Bauhofstrasse, located in Ludwigsburg, Germany, makes significant contributions to the revitalisation of the surrounding environment while employing wood to convey a special atmosphere within the site. Its location - neighbouring historic buildings within the city - was a dominating factor, while the white Eternit plates initially make the project seem distant and strange. The modules were pre-fabricated in Austria and transported to site for quick assembly and precision. While the white plates trick the viewers into thinking that the building is made from something other than wood, Von M intentionally used locally sourced wood to weigh out the use of concrete within the project to design a CO2 neutral building."""
"""Integral""","""Ronald Lu & Partners""","""2019""","""Guilin, China""","""asia""","""project""","""site, people, health, water""","""https://images.adsttc.com/media/images/5ede/eab7/b357/6502/0800/000e/slideshow/%E5%AD%98%E5%9C%A8%E6%91%84%E5%BD%B1(Arch-Exist)_8.jpg?1591667372""","""https://www.archdaily.com/941325/integral-ronald-lu-and-partners, https://www.dezeen.com/awards/2021/longlists/integral-2/""","""Integral, located in Guilin, China, contains a textile workshop, craft centre, botanical garden, and numerous other facilities. The architects in charge of the project, Ronald Lu & Partners, aimed to transform the image of the textile company as a ""low-tech"" industry through incorporating conservation elements to the design. Not only did they try to recycle water and grow local species in the gardens, but they also attempted to harmonise the users and the people around the site. The reference to the culture of Guilin was made through restoring the manufacturing, agricultural, and tourism industries that pre-existed on the site with the wetland that was present. Blue bricks, grey tiles, and bamboo panels were materials common to the locals; therefore the architects used the bricks and recycled bamboo for the facade of the main building. This successfully referenced the culture of the village and reduced the environmental impact."""
"""Warka Tower""","""Warka Water, Arturo Vittori""","""0""","""Warka Village, Cameroon""","""africa""","""project""","""site, water, energy""","""https://images.adsttc.com/media/images/5f48/e09b/b357/653a/0400/0148/slideshow/595741082c8b3e7cee4855280141f91a.jpg?1598611603""","""https://www.warkawater.org/projects/, https://www.archdaily.com/946669/warka-water-and-arturo-vittori-create-integrated-village-for-the-rainforest-community-in-cameroon""","""The two Warka Towers located within the Warka Village, Cameroon, were designed by Warka Water and Arturo Vittori to collect approximately 40 to 80 litres of drinking water from the air every day. Intended for the Pygmy community, natural materials from the site - earth, water, and wood - were used to transform the village to a sustainable and community-based place that mainly concerns the well-being of the people. The design was heavily subject to local conditions, including the cultural and geomorphological aspects. For instance, the Warka Tower is only affected by natural elements such as condensation and evaporation. The village, predicted to be completed in 2022, consists of not only the towers but also the Warka houses and a Warka garden to harvest food."""
"""Powerhouse Telemark""","""Snøhetta""","""2020""","""Porsgrunn, Norway""","""europe""","""project""","""energy, technical metabolism""","""https://images.adsttc.com/media/images/5f9a/e965/63c0/1726/a800/004b/slideshow/2015082_N128.jpg?1603987758""","""https://www.archdaily.com/950507/powerhouse-telemark-snohetta, https://www.dezeen.com/awards/2021/longlists/powerhouse-telemark/""","""Powerhouse Telemark by Snøhetta, located in Porsgrunn, Norway, sets the new standard for sustainable buildings, especially in the context of a global pandemic, by reducing its yearly net energy consumption by 70% when compared to other offices that have been built recently. The slanted roof ensures the maximisation of solar energy produced from the photovoltaic cells, while the wooden facade provides adequate shading where there is too much exposure to sunlight. The project makes references to the site through its 45° notch on the east facade, making it iconic among the industrial context of Porsgrunn. Flexibility of the interior space was achieved by assigning the same materiality and colour for all the floors within the building; the client is thus able to expand, reduce, and alter the spaces without having to relocate to a different building. The impact on the environment was minimised through using wooden debris, recycled fishing nets, and local materials that have been left exposed."""
"""Anandaloy Centre""","""Studio Anna Heringer""","""2020""","""Rudrapur, Bangladesh""","""asia""","""project""","""people, site, health""","""https://images.adsttc.com/media/images/5fa0/7bbb/63c0/1783/9500/03d9/slideshow/001_anandaloy_rudrapur-bangladesh-2020_studio-anna-heringer_by_kurt-hoerbst_102024.jpg?1604352947""","""https://www.archdaily.com/950681/anandaloy-center-studio-anna-heringer, https://www.dezeen.com/awards/2021/longlists/anandaloy-centre-for-people-with-disabilities-dipdii-textiles-studio/""","""The Anandaloy Centre by Studio Anna Heringer is a place for people with disabilities and it also contains a studio for the production of textiles on the second floor. The project is heavily based on the context; not only were local materials used to build the centre, but manual labour from the community members was also heavily valued. Mud and bamboo from local farms were used, and a large portion of the construction budget was dedicated to hiring local craftsmen and craftswomen - hence, the project represented a revitalisation of Rudrapur, Bangladesh. As having a disability was regarded as something shameful in Bangladesh, the building was a place for therapy; people could feel a sense of belonging, while women could find jobs as tailors in the textiles studio without having to travel far away to earn a living. Overall, the centre served as the beginning of local development in the town."""
"""The Braunstein Taphouse""","""ADEPT""","""2020""","""Køge, Denmark""","""europe""","""project""","""technical metabolism, people, circular economy""","""https://images.adsttc.com/media/images/5fa9/4481/63c0/1756/4c00/0705/slideshow/R_Hjortshoj_-_Braunstein-79.jpg?1604928558""","""https://www.archdaily.com/951074/braunstein-taphouse-adept, https://www.dezeen.com/awards/2021/longlists/the-braunstein-taphouse/""","""The Braunstein Taphouse, located at the harbour of Køge, Denmark, serves as the visitor centre for the Braunstein brewery and a meeting place for the community members. Designed by ADEPT, the taphouse was planned until its disassembly stage due to the site being temporarily leased; the building can be rebuilt after being relocated to a different site, or it can also be demolished and used as portions of other projects in the future. Only mechanical joints were used, while no paints were allowed. Furthermore, the volume of waste that would be generated when reusing the building was minimised by using as little material as possible, and the building was made self-sufficient at the same time through installing solar panels and enabling natural ventilation."""
"""Welcome to the Jungle House (WTTJH)""","""CplusC Architectural Workshop""","""2019""","""Darlington, Australia""","""oceania""","""project""","""technical metabolism, site, health""","""https://images.adsttc.com/media/images/5fab/f386/63c0/17a6/a700/000b/newsletter/86463-EXTERIORSIDEDAY-MurrayFredericks.jpg?1605104486""","""https://www.archdaily.com/951260/welcome-to-the-jungle-house-cplusc-architectural-workshop, https://www.dezeen.com/awards/2021/shortlists/welcome-to-the-jungle-house/""","""Welcome to the Jungle House (WTTJH) is a renovation project located in Darlington, Australia. The masonry facade on the original two-storey house that existed on the site represented the significance of the local heritage; hence, the construction process was conducted under strict guidelines. The architects, CplusC Architectural Workshop, employed active and passive systems to lessen the impact of climate change and to provide resilience to the natural environment. For instance, black photovoltaic panels were added to the northern facade for sunlight during the day, while the rooftop consists of steel planter beds where plants and vegetables can grow. Meanwhile, the upper floors were constructed out of timber flooring sourced from recycled timber to convey a sense of warmth. WTTJH used various materials as well as fauna to coexist with the context, while reusing the original aspects of the house to transform it to a building intended for sustainable living."""
"""The Well House""","""Atlas Studio""","""2020""","""Guizhou, China""","""asia""","""project""","""site, technical metabolism, energy""","""https://images.adsttc.com/media/images/5fca/55e0/63c0/17fe/ad00/007f/slideshow/night_view_01.jpg?1607095763""","""https://www.archdaily.com/952691/the-well-house-atlas, https://www.dezeen.com/awards/2021/longlists/the-well-house/""","""The Well House, located in Guizhou, China, is a boutique hotel that aims to renovate the existing wooden building while blending into the context of the village. While certain aspects of the traditional building were kept, modern interventions were made to enhance comfort. For instance, the installation of large windows opened up views for the guests, but the overall building height was adjusted so that the skyline was left undisturbed. The architects, Atlas Studio, also attempted to reuse traditional building methods while harmonising it with contemporary elements to create a ""unified whole."" While the wooden building was already successful in addressing the climatic conditions in the area, the architects added heating, weatherproofing, and soundproofing to enhance the sense of tranquility. The facade was also designed so that natural ventilation was possible (air was captured from the valley), hence reducing energy consumption."""
"""Sands End Arts and Community Centre""","""Mæ""","""2020""","""London, UK""","""europe""","""project""","""technical metabolism, people""","""https://images.adsttc.com/media/images/6026/aa97/f91c/8142/c400/0204/slideshow/1706_N328.jpg?1613146667""","""https://www.archdaily.com/956985/sands-end-arts-and-community-centre-mae-architects, https://www.dezeen.com/awards/2021/longlists/sands-end-arts-and-community-centre/""","""The Sands End Arts and Community Centre by Mæ, located in London, the United Kingdom, intends to serve as a space for social and educational activities, encouraging community involvement. A range of facilities, from a cafe, nursery, to rooms for clubs, aim to enhance social sustainability and the well-being of the residents overall. The architects also employ recyclable materials to reduce the impact on the environment, where 35% of the building material is recycled. Additionally, CLT structures built to have low embodied energy are connected using bolted connections instead of glued ones, taking into account the fact that the disassembled parts of the building will be used to construct other projects in the future. The brick facade also allows the upcycling of 28 tonnes of construction landfill material."""
"""Carazo Architecture Office""","""Carazo Arquitectura""","""2019""","""San Jose, Costa Rica""","""north america""","""project""","""people, health""","""https://images.adsttc.com/media/images/603e/a62a/f91c/817e/b300/00da/slideshow/Carazo_4.jpg?1614718483""","""https://www.archdaily.com/957902/carazo-architecture-office-carazo-arquitectura, http://carazoarquitectura.com/new-carazo-architecture-office/""","""The Carazo Architecture Office, designed by Carazo Arquitectura, reveals what the architects think the ideal future office space should be. The quality of the occupants' lives is enhanced through the coexistence with nature as well as the adaptability of spaces according to new requirements in programme. The project successfully illustrates one of the elements necessary to social sustainability and the health of individuals: access to nature. It has been revealed that people tend to be ""better off"" when they have access to nature, as it ""yields better cognifice functioning, more self-discipline ... and greater mental health."" The employment of biophilic design - which seeks to establish an emotional link between people and nature - ensures that the employees are always in contact with vegetation. The layers of the facade, which allow the growth of greenery, create a comfortable atmosphere to enhance the health of the users."""
"""Bestseller Shanghai Office""","""Linehouse""","""2020""","""Shanghai, China""","""asia""","""project""","""people, health""","""https://images.adsttc.com/media/images/60e4/6853/f91c/81f5/7200/010f/slideshow/Linehouse_Bestseller_014_lo.jpg?1625581637""","""https://www.archdaily.com/964612/bestseller-shanghai-office-linehouse?ad_medium=gallery""","""The Bestseller office located in Shanghai, China, was designed by Linehouse to express progressive ways of working. The building consists of a linear space covered by glazing on three sides to encourage collaboration between the employees; the industrial rigidness was balanced out through the curved design that expresses a sense of softness. The working environment of the users were taken into account, as seen in the design of the office spaces and the meeting rooms. For instance, teams within the company were divided through stainless steel screens that have perforations to provide privacy in meetings while encouraging openness at eye level when walking by or taking a break."""
"""PANNAR Sufficiency Economic and Agriculture Learning Centre""","""Vin Varavarn Architects""","""2021""","""Nai Mueang, Thailand""","""asia""","""project""","""people, site""","""https://images.adsttc.com/media/images/618c/0878/7e35/f901/655d/3ce8/slideshow/03.jpg?1636567172""","""https://www.archdaily.com/971755/pannar-sufficiency-economic-and-agriculture-learning-center-vin-varavarn-architects, https://www.dezeen.com/awards/2021/longlists/pannar-sufficiency-economic-and-agriculture-learning-center/""","""The PANNAR Project in Nai Mueang, Thailand, was built with the aim to inspire the King's Sufficiency Economic Philosophy to the Thai population. When designing the two-storey building, Vin Varavarn Architects strived to explore the relationship between Sufficiency Economic Policy and architecture. The outcome was the creation of a modern design using local materials and craftsmanship that could harmonise with the surrounding environment. The roof was constructed using local bamboo to collect and drain rainwater towards canals, while the earthen walls were built using the skills of craftsmen to adapt to local materials. The activity centre - the main building in the project - is a two-storey building that accommodates programmes such as seminar rooms, kitchens, and offices. Overall, the project highlights how architecture must grow along with technology to respond to the needs of human beings."""
"""Renewal Koning Willem I College""","""Nieuwe Architecten""","""2021""","""Bolduque, The Netherlands""","""europe""","""project""","""fabrication, technical metabolism, circular economy""","""https://images.adsttc.com/media/images/61ef/17a3/6fe1/6309/38c6/03af/slideshow/sp2021-kw1c-draft-1-hires.jpg?1643059170""","""https://www.archdaily.com/975741/renewal-koning-willem-i-college-nieuwe-architecten, https://www.dezeen.com/awards/2021/longlists/wooden-entrance-building-koning-willem-i-college/""","""The addition to the Koning Willem I College in Bolduque, The Netherlands, is a 5 storey building with an entirely wooden structure. The architects, Nieuwe Architecten, aimed for a fully flexible and adaptable structure, where the diagonal elements enable the division of floors. Despite using lightweight construction methods, the building was covered with concrete slabs that were intended to restrict sound transmission. The comfort of the inhabitants were taken into account through a plan that allowed for drastic changes in layouts within the individual rooms each year, since the spaces were mainly for educational purposes.."""
"""Epping Forest House""","""Studio McLeod""","""2020""","""New Hampshire, USA""","""north america""","""project""","""site, people, fabrication""","""https://images.squarespace-cdn.com/content/v1/58a2e8de5016e1926ab6d7f4/1551972364552-7D0TA2ZKWR4X8I95WXZ0/studio-mcleod-epping-forest-house-3.jpg?format=2500w""","""https://studiomcleod.com/epping-forest-house, https://www.dezeen.com/awards/2020/longlists/epping-forest-house/""","""The aim of Epping Forest House by Studio McLeod, located in Epping, New Hampshire, United States, was to build a ""sustainable forever home"" on the site of the client's garage. The design reflects the neighbouring houses that have bay windows - the architects made use of a geometric shift where bays were created on the first floor to design an entrance canopy. Materiality was also an important factor in the design scheme, where the bold colour palette of the house was highlighted through enhanced natural lighting. The house was also pre-fabricated in order to quickly assemble and build on site. The larch boards reflect the client's wish to express the Epping forest, located nearby."""
"""Civitas""","""Archimania""","""2017""","""Tennessee, USA""","""north america""","""project""","""site, energy""","""https://images.squarespace-cdn.com/content/v1/5a949202372b96f4389a9d17/1611172821701-517ZNA0WCZVK1SKUJMBE/2020AK28_105.jpg?format=1500w""","""https://www.archimania.com/all-projects/civitas, https://www.architectmagazine.com/awards/aia-cote-top-ten-green-projects/aia-announces-the-2021-cote-top-ten-award-winners_o""","""Civitas is a home for a family of three, designed by Archimania and located in Memphis, Tennessee. As the first zero energy and zero carbon building in the world to obtain an ILFI certification, the house has also achieved a LEED Platinum. The clients aimed to build a home that would support experimentation in design, construction, and operation. The outcome, which occupies a site that provides views of the Mississippi River, links to the context traditionally: the design has a simplified massing while being built at a scale comparable to the other houses in the neighbourhood. Meanwhile, the name - 'Civitas' - translates as 'community,' and reflects the client's wish to develop memorable experiences through the interconnectivity of the spaces, the transparency, and the materiality. The family constantly challenged the architects throughout the design process to integrate health, resilience, and sustainability; hence, the house has a design framework for a 200-year life cycle."""
"""The Limits to Growth""","""Dennis L. Meadows, Donella H. Meadows, Jørgen Randers, William W. Behrens III""","""1972""","""Rome, Italy""","""europe""","""publication""","""people, circular economy, health""","""https://images-na.ssl-images-amazon.com/images/I/41K9KtgDhhL._SX330_BO1,204,203,200_.jpg""","""https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.460.880&rep=rep1&type=pdf, https://en.wikipedia.org/wiki/The_Limits_to_Growth""","""'The Limits to Growth (LTG) is a report published after the Club of Rome in 1972, emphasising issues such as the extreme growth in economy and population despite the finite amount of resources on Earth. Dennis L. Meadows, Donella H. Meadows, Jørgen Randers, and William W. Behrens III used a World3 computer to simulate the future scenarios, especially the relationship between the resources on Earth and the human system. The conference concluded that there would be an abrupt decline in population as well as industrial capacity to support the people; the limits to support the growth will be reached in approximately a hundred years. However, the authors stated that it is still possible to change the future through making efforts to achieve an equilibrium where ecological sustainability can be reached."""
"""Mehr.WERT.Pavilion""","""2hs, KIT Karlsruhe""","""2019""","""Heilbronn, Germany""","""europe""","""project""","""technical metabolism, circular economy""","""https://labs.aap.cornell.edu/sites/aap-labs/files/2021-10/MWP6.jpg""","""https://labs.aap.cornell.edu/ccl/mehr-wert-pavillon""","""The Mehr.WERT.Pavilion, designed by 2hs and KIT Karlsruhe, addresses questions of local and global resource use while demonstrating a shift towards a circular economy of closed material cycles. Experimenting with alternative materials as well as their applications in a circular design and construction, the architects aimed to discuss important issues of construction and the associated use of resources with decision-makers from politics, construction planning, and implementation. The project also developed innovative concepts, applications, and methods in both practice and in teaching.The pavilion makes use of the existing urban mine while serving as a material depot; the materials used in its construction have already undergone at least one life cycle, and have been put together in a way that can be disassembled, making them available once more for future constructions."""
"""Sidwell Friends Middle School""","""Kieran Timberlake Associates""","""2006""","""Washington, D.C., USA""","""north america""","""project""","""water, people, energy, technical metabolism""","""https://live.staticflickr.com/3635/3665929009_b0b95f9e9b_k.jpg""","""https://scholarworks.umass.edu/cgi/viewcontent.cgi?referer=https://www.google.com/&httpsredir=1&article=2015&context=theses""","""Sidwell Friends Middle School by Kieran Timberlake Associates was meant to serve as a ""living laboratory"" for its students. With an emphasis on environmental sustainability, the building is not only oriented to maximise solar input, but it also captures stormwater on green roofs to grow vegetation. Light shelves and shading devices were also added to provide shelter from direct sunlight to maximise comfort both indoors and outdoors. The building also has significant indirect impact, as its use of recycled materials as well as the efficient means of growing vegetation and maintaining the pond affected the neighbourhood."""
"""Market One""","""Neumann Monson Architects""","""2014""","""Iowa, USA""","""north america""","""project""","""site, technical metabolism, energy""","""https://neumannmonson.com/wp-content/uploads/2017/10/2013_127_MarketOne.jpg""","""https://neumannmonson.com/market-one/, https://www.architectmagazine.com/awards/aia-cote-top-ten-green-projects/aia-announces-the-2021-cote-top-ten-award-winners_o""","""Market One, a revitalisation project of the neglected Market District in Des Moines, Iowa, is an example of how historical preservation and sustainability can co-exist with one another. The clients desired to create a 55,000 square foot commercial district on the site, where environmental sustainability would be one of the top priorities of the design. Despite the difficulties regarding the adherence to the National Park Service's guidelines due to the site's historical significance, Neumann Monson Architects was successful in creating an efficient building. For instance, historical preservation guidelines require the maintenance of single-pane windows that hinder insulation, while the pre-existing brick facade is useless during extreme weathers. More than 97.7% of the building's original materials were reused throughout construction, and such repurposing of materials both reduced the amount of waste generated while maintaining the historical aspects of the site. Strategies involving the balance between the new and the old were essential to this building."""
"""NEST HiLo""","""Block Research Group""","""2021""","""Dubendorf, Switzerland""","""europe""","""project""","""fabrication, digitalization""","""https://pbs.twimg.com/media/EmHpKgRXgAAh1XG?format=jpg&name=900x900""","""https://brg.ethz.ch/hilo""","""Following the principle of ""High Performance and/with Low Emissions"", NEST's HiLo unit, by ETH Zurich's Block Research Group and the Architecture and Building Systems Group, demonstrates how attractive architecture can be when combining energy- and resource-saving construction and operation. The unit brings together innovative planning and design methods for efficient structures in concrete with self-learning and adaptive building technologies.The HiLo Unit features innovations that address the challenges of global resource and energy consumption and greenhouse gas emissions, especially perpetuated by the construction industry is responsible for a large share. The integrated design and fabrication approach used to build the two-storey unit marks a starting point for the way we may design and build in the future."""
